"Station","Annee","RR - Precipitation","Lat","Long","Alti"
"La Jasse Prapoutel","1987","35",NA,NA,NA
"La Jasse Prapoutel","1988","-Inf",NA,NA,NA
"La Jasse Prapoutel","1989","-Inf",NA,NA,NA
"La Jasse Prapoutel","1990","-Inf",NA,NA,NA
"La Jasse Prapoutel","1991","-Inf",NA,NA,NA
"La Jasse Prapoutel","1992","-Inf",NA,NA,NA
"La Jasse Prapoutel","1993","-Inf",NA,NA,NA
"La Jasse Prapoutel","1994","-Inf",NA,NA,NA
"La Jasse Prapoutel","1995","-Inf",NA,NA,NA
"La Jasse Prapoutel","1996","-Inf",NA,NA,NA
"La Jasse Prapoutel","1997","-Inf",NA,NA,NA
"La Jasse Prapoutel","1998","-Inf",NA,NA,NA
"La Jasse Prapoutel","1999","-Inf",NA,NA,NA
"La Jasse Prapoutel","2000","-Inf",NA,NA,NA
"La Jasse Prapoutel","2001","-Inf",NA,NA,NA
"La Jasse Prapoutel","2002","-Inf",NA,NA,NA
"La Jasse Prapoutel","2003","-Inf",NA,NA,NA
"La Jasse Prapoutel","2004","-Inf",NA,NA,NA
"La Jasse Prapoutel","2005","-Inf",NA,NA,NA
"La Jasse Prapoutel","2006","-Inf",NA,NA,NA
"La Jasse Prapoutel","2007","-Inf",NA,NA,NA
"La Jasse Prapoutel","2008","-Inf",NA,NA,NA
"La Jasse Prapoutel","2009","-Inf",NA,NA,NA
"La Jasse Prapoutel","2010","-Inf",NA,NA,NA
"La Jasse Prapoutel","2011","-Inf",NA,NA,NA
"La Jasse Prapoutel","2012","-Inf",NA,NA,NA
"La Jasse Prapoutel","2013","-Inf",NA,NA,NA
"La Jasse Prapoutel","2014","-Inf",NA,NA,NA
"La Jasse Prapoutel","2015","-Inf",NA,NA,NA
"La Jasse Prapoutel","2016","-Inf",NA,NA,NA
"La Jasse Prapoutel","2017","-Inf",NA,NA,NA
"La Jasse Prapoutel","2018","-Inf",NA,NA,NA
"La Jasse Prapoutel","2019","-Inf",NA,NA,NA
"La Jasse Prapoutel","2020","-Inf",NA,NA,NA
"La Jasse Prapoutel","2021","-Inf",NA,NA,NA
"La Jasse Prapoutel","2022","-Inf",NA,NA,NA
"Prapoutel","1950","-Inf",NA,NA,NA
"Prapoutel","1951","-Inf",NA,NA,NA
"Prapoutel","1952","-Inf",NA,NA,NA
"Prapoutel","1953","-Inf",NA,NA,NA
"Prapoutel","1954","-Inf",NA,NA,NA
"Prapoutel","1955","-Inf",NA,NA,NA
"Prapoutel","1956","-Inf",NA,NA,NA
"Prapoutel","1957","-Inf",NA,NA,NA
"Prapoutel","1958","-Inf",NA,NA,NA
"Prapoutel","1959","-Inf",NA,NA,NA
"Prapoutel","1960","-Inf",NA,NA,NA
"Prapoutel","1961","-Inf",NA,NA,NA
"Prapoutel","1962","-Inf",NA,NA,NA
"Prapoutel","1963","-Inf",NA,NA,NA
"Prapoutel","1964","-Inf",NA,NA,NA
"Prapoutel","1965","-Inf",NA,NA,NA
"Prapoutel","1966","-Inf",NA,NA,NA
"Prapoutel","1967","-Inf",NA,NA,NA
"Prapoutel","1968","-Inf",NA,NA,NA
"Prapoutel","1969","-Inf",NA,NA,NA
"Prapoutel","1970","-Inf",NA,NA,NA
"Prapoutel","1971","-Inf",NA,NA,NA
"Prapoutel","1972","-Inf",NA,NA,NA
"Prapoutel","1973","-Inf",NA,NA,NA
"Prapoutel","1974","-Inf",NA,NA,NA
"Prapoutel","1975","-Inf",NA,NA,NA
"Prapoutel","1976","-Inf",NA,NA,NA
"Prapoutel","1977","-Inf",NA,NA,NA
"Prapoutel","1978","-Inf",NA,NA,NA
"Prapoutel","1979","-Inf",NA,NA,NA
"Prapoutel","1980","-Inf",NA,NA,NA
"Prapoutel","1981","-Inf",NA,NA,NA
"Prapoutel","1982","-Inf",NA,NA,NA
"Prapoutel","1983","-Inf",NA,NA,NA
"Prapoutel","1984","-Inf",NA,NA,NA
"Prapoutel","1985","-Inf",NA,NA,NA
"Prapoutel","1986","-Inf",NA,NA,NA
"Prapoutel","1987","-Inf",NA,NA,NA
