"NOM","ANNEE","PLUIE"
"CHARAVINES",1968,61.3
"CHARAVINES",1969,53.4
"CHARAVINES",1970,45
"CHARAVINES",1971,61.7
"CHARAVINES",1972,144.6
"CHARAVINES",1973,45.7
"CHARAVINES",1974,49.8
"CHARAVINES",1975,83.1
"CHARAVINES",1976,51.3
"CHARAVINES",1977,45.1
"CHARAVINES",1978,66.3
"CHARAVINES",1979,54.9
"CHARAVINES",1980,56.6
"CHARAVINES",1981,56.7
"CHARAVINES",1982,48.5
"CHARAVINES",1983,72.3
"CHARAVINES",1984,28.9
"CHARAVINES",1985,49
"CHARAVINES",1986,54.6
"CHARAVINES",1987,71.5
"CHARAVINES",1988,84
"CHARAVINES",1989,40.8
"CHARAVINES",1990,45
"CHARAVINES",1991,84
"CHARAVINES",1992,53.2
"CHARAVINES",1993,71.8
"CHARAVINES",1994,54
"CHARAVINES",1995,76.8
"CHARAVINES",1996,50.6
"CHARAVINES",1997,43.6
"CHARAVINES",1998,56.2
"CHARAVINES",1999,190.2
"CHARAVINES",2000,44.1
"CHARAVINES",2001,59.8
"CHARAVINES",2002,72.2
"CHARAVINES",2003,65.8
"CHARAVINES",2004,100.5
"CHARAVINES",2005,48.4
"CHARAVINES",2006,50.3
"CHARAVINES",2007,54.6
"CHARAVINES",2008,98.6
"CHARAVINES",2009,54.7
"CHARAVINES",2010,44.7
"CHARAVINES",2011,45.1
"CHARAVINES",2012,68.7
"CHARAVINES",2013,69.8
"CHARAVINES",2014,69.5
"CHARAVINES",2015,60.4
"CHARAVINES",2016,57.5
"CHARAVINES",2017,36.1
"CHARAVINES",2018,36.6
"CHARAVINES",2019,42.4
"CHARAVINES",2020,58.2
"CHARAVINES",2021,70.2
"CHARAVINES",2022,44.3
"LA COTE ST ANDRE",1950,51.4
"LA COTE ST ANDRE",1951,57.9
"LA COTE ST ANDRE",1952,55.7
"LA COTE ST ANDRE",1953,54
"LA COTE ST ANDRE",1954,85.9
"LA COTE ST ANDRE",1955,52.8
"LA COTE ST ANDRE",1956,46.6
"LA COTE ST ANDRE",1957,39.2
"LA COTE ST ANDRE",1958,75.1
"LA COTE ST ANDRE",1959,45.2
"LA COTE ST ANDRE",1960,64.4
"LA COTE ST ANDRE",1961,43.4
"LA COTE ST ANDRE",1962,42.8
"LA COTE ST ANDRE",1963,61.9
"LA COTE ST ANDRE",1964,31.2
"LA COTE ST ANDRE",1965,45.8
"LA COTE ST ANDRE",1966,41
"LA COTE ST ANDRE",1967,35.8
"LA COTE ST ANDRE",1968,57.8
"LA COTE ST ANDRE",1969,50.2
"LA COTE ST ANDRE",1970,85.2
"LA COTE ST ANDRE",1971,52.5
"LA COTE ST ANDRE",1972,53.6
"LA COTE ST ANDRE",1973,39.7
"LA COTE ST ANDRE",1974,41
"LA COTE ST ANDRE",1975,51
"LA COTE ST ANDRE",1976,88
"LA COTE ST ANDRE",1977,54.3
"LA COTE ST ANDRE",1978,65
"LA COTE ST ANDRE",1979,52.2
"LA COTE ST ANDRE",1980,71.6
"LA COTE ST ANDRE",1981,49.5
"LA COTE ST ANDRE",1982,50.9
"LA COTE ST ANDRE",1983,57.5
"LA COTE ST ANDRE",1984,35.1
"LA COTE ST ANDRE",1985,53.2
"LA COTE ST ANDRE",1986,75
"LA COTE ST ANDRE",1987,65.5
"LA COTE ST ANDRE",1988,106.5
"LA COTE ST ANDRE",1989,66
"LA COTE ST ANDRE",1990,40
"LA COTE ST ANDRE",1991,75.5
"LA COTE ST ANDRE",1992,45.3
"LA COTE ST ANDRE",1993,60.5
"LA COTE ST ANDRE",1994,52.8
"LA COTE ST ANDRE",1995,93
"LA COTE ST ANDRE",1996,56.3
"LA COTE ST ANDRE",1997,70.5
"LA COTE ST ANDRE",1998,68.5
"LA COTE ST ANDRE",1999,200
"LA COTE ST ANDRE",2000,37.3
"LA COTE ST ANDRE",2001,49.8
"LA COTE ST ANDRE",2002,50
"LA COTE ST ANDRE",2003,87.5
"LA COTE ST ANDRE",2004,74
"LA COTE ST ANDRE",2005,62
"LA COTE ST ANDRE",2006,56.7
"LA COTE ST ANDRE",2007,51.8
"LA COTE ST ANDRE",2008,69.2
"LA COTE ST ANDRE",2009,33.4
"LA COTE ST ANDRE",2010,45.3
"LA COTE ST ANDRE",2011,37.1
"LA COTE ST ANDRE",2012,70
"LA COTE ST ANDRE",2013,90.6
"LA COTE ST ANDRE",2014,78.4
"LA COTE ST ANDRE",2015,54.8
"LA COTE ST ANDRE",2016,53.5
"LA COTE ST ANDRE",2017,6.2
"LA COTE ST ANDRE",2018,NA
"LA COTE ST ANDRE",2019,NA
"LA COTE ST ANDRE",2020,NA
"LA COTE ST ANDRE",2021,NA
"LA COTE ST ANDRE",2022,NA
"GRENOBLE-ST GEOIRS",1950,69
"GRENOBLE-ST GEOIRS",1951,64.1
"GRENOBLE-ST GEOIRS",1952,12.1
"GRENOBLE-ST GEOIRS",1953,NA
"GRENOBLE-ST GEOIRS",1954,NA
"GRENOBLE-ST GEOIRS",1955,NA
"GRENOBLE-ST GEOIRS",1956,NA
"GRENOBLE-ST GEOIRS",1957,NA
"GRENOBLE-ST GEOIRS",1958,NA
"GRENOBLE-ST GEOIRS",1959,NA
"GRENOBLE-ST GEOIRS",1960,NA
"GRENOBLE-ST GEOIRS",1961,NA
"GRENOBLE-ST GEOIRS",1962,NA
"GRENOBLE-ST GEOIRS",1963,NA
"GRENOBLE-ST GEOIRS",1964,NA
"GRENOBLE-ST GEOIRS",1965,NA
"GRENOBLE-ST GEOIRS",1966,NA
"GRENOBLE-ST GEOIRS",1967,33.3
"GRENOBLE-ST GEOIRS",1968,67.4
"GRENOBLE-ST GEOIRS",1969,55.5
"GRENOBLE-ST GEOIRS",1970,53.4
"GRENOBLE-ST GEOIRS",1971,52
"GRENOBLE-ST GEOIRS",1972,45.1
"GRENOBLE-ST GEOIRS",1973,41.9
"GRENOBLE-ST GEOIRS",1974,41.4
"GRENOBLE-ST GEOIRS",1975,73.3
"GRENOBLE-ST GEOIRS",1976,62.3
"GRENOBLE-ST GEOIRS",1977,45.2
"GRENOBLE-ST GEOIRS",1978,39.4
"GRENOBLE-ST GEOIRS",1979,55.1
"GRENOBLE-ST GEOIRS",1980,58.7
"GRENOBLE-ST GEOIRS",1981,54.7
"GRENOBLE-ST GEOIRS",1982,50
"GRENOBLE-ST GEOIRS",1983,70.2
"GRENOBLE-ST GEOIRS",1984,37.2
"GRENOBLE-ST GEOIRS",1985,53.2
"GRENOBLE-ST GEOIRS",1986,86
"GRENOBLE-ST GEOIRS",1987,89.2
"GRENOBLE-ST GEOIRS",1988,81.2
"GRENOBLE-ST GEOIRS",1989,67
"GRENOBLE-ST GEOIRS",1990,46
"GRENOBLE-ST GEOIRS",1991,72.8
"GRENOBLE-ST GEOIRS",1992,45.2
"GRENOBLE-ST GEOIRS",1993,69.3
"GRENOBLE-ST GEOIRS",1994,60.6
"GRENOBLE-ST GEOIRS",1995,102.4
"GRENOBLE-ST GEOIRS",1996,45.6
"GRENOBLE-ST GEOIRS",1997,47.6
"GRENOBLE-ST GEOIRS",1998,72
"GRENOBLE-ST GEOIRS",1999,189.2
"GRENOBLE-ST GEOIRS",2000,34.8
"GRENOBLE-ST GEOIRS",2001,46.2
"GRENOBLE-ST GEOIRS",2002,61.4
"GRENOBLE-ST GEOIRS",2003,75
"GRENOBLE-ST GEOIRS",2004,72.6
"GRENOBLE-ST GEOIRS",2005,45.2
"GRENOBLE-ST GEOIRS",2006,43
"GRENOBLE-ST GEOIRS",2007,47.6
"GRENOBLE-ST GEOIRS",2008,56.8
"GRENOBLE-ST GEOIRS",2009,33.8
"GRENOBLE-ST GEOIRS",2010,47.1
"GRENOBLE-ST GEOIRS",2011,52.5
"GRENOBLE-ST GEOIRS",2012,66.3
"GRENOBLE-ST GEOIRS",2013,82
"GRENOBLE-ST GEOIRS",2014,74.9
"GRENOBLE-ST GEOIRS",2015,56.5
"GRENOBLE-ST GEOIRS",2016,47.7
"GRENOBLE-ST GEOIRS",2017,28.3
"GRENOBLE-ST GEOIRS",2018,43
"GRENOBLE-ST GEOIRS",2019,55.6
"GRENOBLE-ST GEOIRS",2020,68.7
"GRENOBLE-ST GEOIRS",2021,77.5
"GRENOBLE-ST GEOIRS",2022,41.6
"ST-LAURENT-DU-PONT",1950,68
"ST-LAURENT-DU-PONT",1951,52.4
"ST-LAURENT-DU-PONT",1952,49.5
"ST-LAURENT-DU-PONT",1953,89.6
"ST-LAURENT-DU-PONT",1954,128.5
"ST-LAURENT-DU-PONT",1955,NA
"ST-LAURENT-DU-PONT",1956,72.5
"ST-LAURENT-DU-PONT",1957,NA
"ST-LAURENT-DU-PONT",1958,88.4
"ST-LAURENT-DU-PONT",1959,95.5
"ST-LAURENT-DU-PONT",1960,80
"ST-LAURENT-DU-PONT",1961,55
"ST-LAURENT-DU-PONT",1962,56
"ST-LAURENT-DU-PONT",1963,68
"ST-LAURENT-DU-PONT",1964,46.6
"ST-LAURENT-DU-PONT",1965,55.5
"ST-LAURENT-DU-PONT",1966,71.1
"ST-LAURENT-DU-PONT",1967,81.6
"ST-LAURENT-DU-PONT",1968,71.4
"ST-LAURENT-DU-PONT",1969,80.6
"ST-LAURENT-DU-PONT",1970,50.5
"ST-LAURENT-DU-PONT",1971,61.6
"ST-LAURENT-DU-PONT",1972,50.2
"ST-LAURENT-DU-PONT",1973,93.4
"ST-LAURENT-DU-PONT",1974,55.4
"ST-LAURENT-DU-PONT",1975,76
"ST-LAURENT-DU-PONT",1976,47.6
"ST-LAURENT-DU-PONT",1977,64.5
"ST-LAURENT-DU-PONT",1978,125
"ST-LAURENT-DU-PONT",1979,60
"ST-LAURENT-DU-PONT",1980,110
"ST-LAURENT-DU-PONT",1981,58.5
"ST-LAURENT-DU-PONT",1982,71.5
"ST-LAURENT-DU-PONT",1983,76.5
"ST-LAURENT-DU-PONT",1984,43.5
"ST-LAURENT-DU-PONT",1985,57
"ST-LAURENT-DU-PONT",1986,56
"ST-LAURENT-DU-PONT",1987,75
"ST-LAURENT-DU-PONT",1988,76
"ST-LAURENT-DU-PONT",1989,47
"ST-LAURENT-DU-PONT",1990,70
"ST-LAURENT-DU-PONT",1991,110
"ST-LAURENT-DU-PONT",1992,60
