"V1","V2","V3"
"Prapoutel","1956","-Inf"
"Prapoutel","1957","-Inf"
"Prapoutel","1958","-Inf"
"Prapoutel","1959","-Inf"
"Prapoutel","1960","-Inf"
"Prapoutel","1961","-Inf"
"Prapoutel","1962","-Inf"
"Prapoutel","1963","-Inf"
"Prapoutel","1964","-Inf"
"Prapoutel","1965","-Inf"
"Prapoutel","1966","-Inf"
"Prapoutel","1967","-Inf"
"Prapoutel","1968","-Inf"
"Prapoutel","1969","-Inf"
"Prapoutel","1970","-Inf"
"Prapoutel","1971","-Inf"
"Prapoutel","1972","-Inf"
"Prapoutel","1973","-Inf"
"Prapoutel","1974","-Inf"
"Prapoutel","1975","-Inf"
"Prapoutel","1976","-Inf"
"Prapoutel","1977","-Inf"
"Prapoutel","1978","-Inf"
"Prapoutel","1979","-Inf"
"Prapoutel","1980","-Inf"
"Prapoutel","1981","-Inf"
"Prapoutel","1982","-Inf"
"Prapoutel","1983","-Inf"
"Prapoutel","1984","-Inf"
"Prapoutel","1985","-Inf"
"Prapoutel","1986","-Inf"
"Prapoutel","1987","-Inf"
"Prapoutel","1988","-Inf"
"Prapoutel","1989","-Inf"
"Prapoutel","1990","-Inf"
"Prapoutel","1991","-Inf"
"Prapoutel","1992","-Inf"
"Prapoutel","1993","-Inf"
"Prapoutel","1994","-Inf"
"Prapoutel","1995","29.7"
"Prapoutel","1996","34.2"
"Prapoutel","1997","19.7"
"Prapoutel","1998","40"
"Prapoutel","1999","40.6"
"Prapoutel","2000","44"
"Prapoutel","2001","36.8"
"Prapoutel","2002","30"
"Prapoutel","2003","5"
"Prapoutel","2004","12.6"
"Prapoutel","2005","-Inf"
"Prapoutel","2006","-Inf"
"Prapoutel","2007","-Inf"
"Prapoutel","2008","-Inf"
"Prapoutel","2009","-Inf"
"Prapoutel","2010","-Inf"
"Prapoutel","2011","-Inf"
"Prapoutel","2012","-Inf"
"Prapoutel","2013","-Inf"
"Prapoutel","2014","-Inf"
"Prapoutel","2015","-Inf"
"Prapoutel","2016","-Inf"
"Prapoutel","2017","-Inf"
"Prapoutel","2018","-Inf"
"Prapoutel","2019","-Inf"
"Prapoutel","2020","-Inf"
"Prapoutel","2021","-Inf"
"Prapoutel","2022","-Inf"
"PRAPOUTEL","1950","-Inf"
"PRAPOUTEL","1951","-Inf"
"PRAPOUTEL","1952","-Inf"
"PRAPOUTEL","1953","-Inf"
"PRAPOUTEL","1954","-Inf"
"PRAPOUTEL","1955","-Inf"
"PRAPOUTEL","1956","-Inf"
"PRAPOUTEL","1957","-Inf"
"PRAPOUTEL","1958","-Inf"
"PRAPOUTEL","1959","-Inf"
"PRAPOUTEL","1960","-Inf"
"PRAPOUTEL","1961","-Inf"
"PRAPOUTEL","1962","-Inf"
"PRAPOUTEL","1963","-Inf"
"PRAPOUTEL","1964","-Inf"
"PRAPOUTEL","1965","-Inf"
"PRAPOUTEL","1966","-Inf"
"PRAPOUTEL","1967","-Inf"
"PRAPOUTEL","1968","-Inf"
"PRAPOUTEL","1969","-Inf"
"PRAPOUTEL","1970","-Inf"
"PRAPOUTEL","1971","-Inf"
"PRAPOUTEL","1972","-Inf"
"PRAPOUTEL","1973","-Inf"
"PRAPOUTEL","1974","-Inf"
"PRAPOUTEL","1975","-Inf"
"PRAPOUTEL","1976","-Inf"
"PRAPOUTEL","1977","-Inf"
"PRAPOUTEL","1978","-Inf"
